link,title
finance.yahoo.com/video/stocks-move-virgin-galactic-see-165629317.html,"Stocks on the move: Virgin Galactic see uptick on BOA buy rating, Pinterest makes gains as Guggenheim initiates coverage w/ buy rating"
finance.yahoo.com/m/89a0475d-3ee1-3b07-b142-d4984e673fe8/robinhood-investors-buy.html,"Robinhood Investors: Buy This, Not That"
finance.yahoo.com/m/6da1820c-677d-3f8a-a884-ca9ddf21df8d/pinterest-and-snap-could-see.html,"Pinterest and Snap Could See Higher Valuations, Guggenheim Says"
