Date,Open,High,Low,Close,Adj Close,Volume,3days_before_change
2019-06-20,54.340000,54.689999,52.990002,53.790001,53.790001,456600,1.1319444654882154
2019-06-21,53.459999,54.750000,52.755001,53.410000,53.410000,908600,1.1490963855421688
2019-06-24,53.509998,53.560001,47.560001,49.279999,49.279999,988800,1.0313938893133925
2019-06-25,49.310001,50.199001,47.139999,47.520000,47.520000,693600,1.0099893944737386
2019-06-26,48.000000,49.759998,46.060001,46.480000,46.480000,913200,1.0086805117760194
2019-06-27,46.529999,48.430000,45.291000,47.779999,47.779999,1103400,1.0328577835217372
2019-06-28,48.119999,48.799999,45.910000,47.049999,47.049999,1217800,1.0004252604810815
2019-07-01,48.000000,48.735001,44.703999,46.080002,46.080002,842200,0.9662403641484665
2019-07-02,45.830002,46.540001,44.500000,46.259998,46.259998,660700,0.9702180788590604
2019-07-03,46.720001,47.950001,46.310001,47.029999,47.029999,321600,0.9462776268354601
2019-07-05,46.830002,47.810001,46.500000,47.689999,47.689999,350300,0.9439825613618369
2019-07-08,47.619999,47.930000,46.540001,47.680000,47.680000,579900,0.9651821471586175
2019-07-09,47.500000,49.700001,47.325001,49.700001,49.700001,476300,1.02305473350948
2019-07-10,50.790001,51.880001,48.990002,50.520000,50.520000,574600,1.0175226176224526
2019-07-11,50.660000,50.759998,48.299999,49.400002,49.400002,621800,1.0177173667548958
2019-07-12,49.040001,49.040001,47.250000,48.580002,48.580002,816600,1.0186622566295294
2019-07-15,49.439999,50.360001,49.007999,49.650002,49.650002,598300,1.1055444667112002
2019-07-16,49.560001,49.689999,47.919998,48.540001,48.540001,400400,1.0486066094489823
2019-07-17,48.500000,48.880001,46.680000,47.689999,47.689999,605400,1.0222936110485055
2019-07-18,47.599998,47.610001,44.910000,44.910000,44.910000,660600,1.0172139969551983
2019-07-19,45.180000,47.549999,45.049999,46.290001,46.290001,735400,1.030040098576771
2019-07-22,46.580002,48.730000,46.049999,46.650002,46.650002,576000,1.0724138390804598
2019-07-23,46.799999,47.189999,43.700001,44.150002,44.150002,1252500,0.9665061733800351
2019-07-24,44.599998,45.430000,43.070000,44.939999,44.939999,642100,1.0202043137390309
2019-07-25,44.660000,44.930000,43.220001,43.500000,43.500000,440400,0.9675267119111812
2019-07-26,43.730000,45.990002,43.340000,45.680000,45.680000,419800,1.0334841395139336
2019-07-29,45.669998,45.680000,43.180000,44.049999,44.049999,490300,1.0563548667540799
2019-07-30,43.360001,45.117001,42.720001,44.959999,44.959999,295900,1.140248516358103
2019-07-31,44.770000,45.060001,43.009998,44.200001,44.200001,474300,1.175219351895258
2019-08-01,43.900002,44.180000,41.174000,41.700001,41.700001,496800,1.130081266662262
2019-08-02,41.570000,41.570000,39.299999,39.430000,39.430000,613900,1.048949188613993
2019-08-05,38.099998,39.314999,36.310001,37.610001,37.610001,824600,0.9386074619416022
2019-08-06,38.759998,39.189999,36.349998,36.900002,36.900002,669100,0.9813830841161215
2019-08-07,36.290001,37.849998,35.900002,37.590000,37.590000,200900,1.0281728383978983
2019-08-08,38.040001,40.110001,38.040001,40.070000,40.070000,795700,1.1069060467705512
2019-08-09,39.990002,40.560001,37.049999,37.599998,37.599998,428000,1.0517481958041959
2019-08-12,37.419998,37.439999,36.169998,36.560001,36.560001,367900,1.0832592888888888
2019-08-13,36.020000,36.840000,34.750000,36.200001,36.200001,648900,1.0438293252595157
2019-08-14,36.480000,37.209999,34.849998,35.750000,35.750000,567000,1.0093168271776864
2019-08-15,35.810001,35.810001,33.250000,33.750000,33.750000,1025800,0.9782608695652174
2019-08-16,33.959999,36.599998,33.880001,34.680000,34.680000,747800,0.9900085923496602
2019-08-19,35.000000,35.880001,33.279999,35.419998,35.419998,604300,0.9888329983249581
2019-08-20,35.139999,35.259998,33.849998,34.500000,34.500000,604600,0.9896729492348553
2019-08-21,34.580002,36.430000,34.500000,35.029999,35.029999,310100,0.9839887912353252
2019-08-22,35.189999,35.959999,34.509998,35.820000,35.820000,435200,1.0084459459459458
2019-08-23,35.680000,35.950001,34.720001,34.860001,34.860001,243800,0.9696801121090372
2019-08-26,35.040001,35.990002,34.912998,35.599998,35.599998,368600,0.9268419161676648
2019-08-27,35.759998,36.384998,35.200001,35.520000,35.520000,310500,0.904507257448434
2019-08-28,35.500000,36.099998,35.060001,35.950001,35.950001,291700,0.9568805163694437
2019-08-29,36.369999,38.970001,36.299999,38.410000,38.410000,766500,1.0097265770313728
2019-08-30,39.000000,39.560001,38.110001,39.270000,39.270000,1386600,1.0729508783033268
2019-09-03,38.650002,39.584999,37.389999,37.570000,37.570000,1712300,1.157068027192238
2019-09-04,37.540001,38.705002,37.509998,38.040001,38.040001,692800,1.3465487079646017
2019-09-05,38.560001,38.849998,36.279999,36.599998,36.599998,1372300,1.3333332119004293
2019-09-06,33.950001,34.889999,31.889999,32.470001,32.470001,3206000,1.0317763594463414
2019-09-09,32.700001,33.110001,27.820000,28.250000,28.250000,2372800,0.9011164274322169
2019-09-10,28.420000,29.254999,26.980000,27.450001,27.450001,1704600,0.9165275486969099
2019-09-11,27.500000,31.500000,27.480000,31.469999,31.469999,1589600,1.0254153787743443
2019-09-12,31.350000,32.540001,30.469999,31.350000,31.350000,745900,1.0235063997227032
2019-09-13,31.900000,32.099998,29.730000,29.950001,29.950001,567500,0.9839027600557569
2019-09-16,29.430000,31.309999,29.290001,30.690001,30.690001,371800,1.048155736060255
2019-09-17,30.750000,31.320000,30.219999,30.629999,30.629999,273400,1.0295797983193278
2019-09-18,30.629999,31.090000,30.059999,30.440001,30.440001,349300,0.957835117752199
2019-09-19,30.309999,30.639999,28.850000,29.280001,29.280001,353800,1.0096552068965516
2019-09-20,29.809999,30.360001,29.150000,29.750000,29.750000,665400,1.0568383658969804
2019-09-23,29.420000,31.850000,28.680000,31.780001,31.780001,789800,1.085011946568387
2019-09-24,31.440001,31.780001,28.049999,29.000000,29.000000,1144400,1.0269121813031161
2019-09-25,28.809999,29.020000,27.709999,28.150000,28.150000,755000,0.9964601769911504
2019-09-26,27.860001,29.870001,27.860001,29.290001,29.290001,905200,1.0368141946902656
2019-09-27,29.990000,30.000000,27.889999,28.240000,28.240000,487300,1.0363302752293577
2019-09-30,28.260000,28.870001,27.700001,28.250000,28.250000,454000,1.0118194842406876
2019-10-01,28.200001,29.209999,27.809999,28.250000,28.250000,326100,1.0198555588499798
2019-10-02,27.770000,28.139999,27.250000,27.250000,27.250000,439000,1.019072550486163
2019-10-03,27.500000,28.160000,26.690001,27.920000,27.920000,1337400,1.057976546342423
2019-10-04,27.799999,28.110001,27.400000,27.700001,27.700001,280500,1.044101016053486
2019-10-07,27.490000,27.620001,26.649000,26.740000,26.740000,801000,1.0284615384615383
2019-10-08,26.000000,26.450001,24.799999,26.389999,26.389999,5957500,1.0114986201609812
2019-10-09,26.570000,26.950001,25.917000,26.530001,26.530001,1962000,1.0030245745548365
2019-10-10,26.469999,26.691000,25.209999,26.000000,26.000000,2110600,0.9478672985781991
2019-10-11,26.110001,26.920000,25.990000,26.090000,26.090000,814200,0.9637975618766161
2019-10-14,26.090000,26.610001,25.650000,26.450001,26.450001,743000,0.9977367408525084
2019-10-15,26.900000,27.670000,26.110001,27.430000,27.430000,1415700,1.0777995647230034
2019-10-16,26.830000,27.469999,26.730000,27.070000,27.070000,1116600,1.0862760834670946
2019-10-17,26.670000,26.920000,26.010000,26.510000,26.510000,844900,1.0918450950640406
2019-10-18,26.200001,26.280001,24.770000,25.450001,25.450001,1080000,1.0774767113684713
2019-10-21,25.290001,25.620001,23.770000,24.920000,24.920000,1047600,1.0121851741598225
2019-10-22,24.980000,25.090000,24.100000,24.280001,24.280001,1136200,0.9833940873473436
2019-10-23,24.000000,24.660000,23.480000,23.620001,23.620001,1215200,1.0081093043107128
2019-10-24,23.900000,25.799999,23.820000,24.620001,24.620001,1009600,1.093250488454707
2019-10-25,24.700001,25.190001,23.860001,24.690001,24.690001,663100,1.0791084824785175
2019-10-28,24.830000,24.899000,23.389999,23.430000,23.430000,843200,1.0191387559808613
2019-10-29,23.650000,23.900000,22.389999,22.520000,22.520000,808800,0.980836279653148
2019-10-30,22.559999,23.230000,21.799999,22.879999,22.879999,982000,0.9736169787234044
2019-10-31,22.820000,23.600000,22.260000,22.990000,22.990000,490300,0.9900947885484404
2019-11-01,23.000000,23.690001,22.709999,22.959999,22.959999,476500,0.9687762882372873
2019-11-04,23.059999,23.629999,23.030001,23.500000,23.500000,490600,1.050514034398121
2019-11-05,23.570000,23.900000,22.920000,23.219999,23.219999,567700,1.0393911817367951
2019-11-06,23.219999,23.959999,22.780001,23.700001,23.700001,604300,1.0623039920351407
2019-11-07,23.790001,23.809999,22.129999,22.370001,22.370001,742300,0.9802804995617879
2019-11-08,22.379999,22.660000,21.719999,22.340000,22.340000,618900,1.013151973385577
2019-11-11,22.160000,22.610001,21.799999,22.309999,22.309999,428000,0.9991042991491269
2019-11-12,22.370001,22.986000,22.360001,22.820000,22.820000,516600,0.9702380952380952
2019-11-13,22.680000,22.805000,21.959999,22.049999,22.049999,469300,0.9104046205782254
2019-11-14,22.030001,22.639999,21.959999,22.330000,22.330000,418500,0.8843564356435643
2019-11-15,22.580000,23.825001,22.330000,23.520000,23.520000,609800,0.9039200614911607
2019-11-18,23.389999,25.000000,23.049999,24.219999,24.219999,1111700,0.9188163156746466
2019-11-19,24.320000,25.350000,23.950001,25.250000,25.250000,1183800,0.9393601539940533
2019-11-20,25.350000,26.240000,24.950001,26.020000,26.020000,1638300,0.9901065072257799
2019-11-21,26.780001,27.840000,26.049999,26.360001,26.360001,1377800,0.9880060344827587
2019-11-22,26.709999,27.320000,26.450001,26.879999,26.879999,755700,1.0310701572688914
2019-11-25,27.100000,27.450001,26.100000,26.280001,26.280001,729500,1.008829251778474
2019-11-26,26.020000,26.990000,25.750000,26.680000,26.680000,828500,1.093890983759368
2019-11-27,26.100000,26.426001,24.610001,26.070000,26.070000,1149100,1.0199530915474606
2019-11-29,25.840000,26.370001,25.780001,26.049999,26.049999,237400,1.0155945029239766
2019-12-02,26.150000,26.150000,24.299999,24.389999,24.389999,1014100,0.975990356142457
2019-12-03,23.570000,25.639999,22.910000,25.559999,25.559999,1286600,1.1719394851875051
2019-12-04,25.450001,26.230000,25.139999,25.650000,25.650000,821800,1.0952177625960715
2019-12-05,25.709999,26.070000,24.459999,24.990000,24.990000,1406500,1.108695602985998
2019-12-06,20.530001,22.750000,20.530001,21.809999,21.809999,5167400,0.9749663846684675
2019-12-09,21.820000,23.530001,21.820000,23.420000,23.420000,1661900,1.0540054479750427
2019-12-10,22.770000,23.000000,22.219999,22.540001,22.540001,2351800,0.9761802078822001
2019-12-11,22.250000,22.830000,22.070000,22.370001,22.370001,1258400,0.9696576072821845
2019-12-12,22.330000,22.650000,21.910000,22.219999,22.219999,1177200,0.9166666254125414
2019-12-13,22.230000,23.450001,22.209999,23.090000,23.090000,1071000,0.9302981466559226
2019-12-16,23.190001,23.360001,22.920000,23.070000,23.070000,1098400,0.9378048780487804
2019-12-17,24.299999,24.379999,23.250000,24.240000,24.240000,2178900,0.983367139959432
2019-12-18,24.400000,25.440001,24.254999,24.820000,24.820000,1270700,1.0485847063793832
2019-12-19,24.629999,25.219999,24.500000,24.600000,24.600000,898300,1.0349179638199413
2019-12-20,24.600000,25.100000,23.910000,24.650000,24.650000,3613800,1.027511463109629
2019-12-23,24.650000,24.680000,23.530001,23.670000,23.670000,1003800,1.0154440590066092
2019-12-24,23.660000,24.100000,23.520000,23.770000,23.770000,315600,1.0127823183972013
2019-12-26,23.930000,24.420000,23.840000,23.990000,23.990000,426000,1.025652031879095
2019-12-27,23.940001,24.040001,23.180000,23.309999,23.309999,703100,0.9576827855382087
2019-12-30,23.260000,23.639999,22.750000,23.469999,23.469999,649200,0.9626743216847548
2019-12-31,23.420000,23.700001,23.180000,23.389999,23.389999,585000,0.9492694784606119
2020-01-02,23.690001,24.400000,23.690001,24.340000,24.340000,553700,0.9846278715464348
2020-01-03,24.090000,24.459000,23.660000,24.379999,24.379999,602700,0.9647803324099724
2020-01-06,24.120001,24.889999,24.010000,24.639999,24.639999,565900,0.9995942799188642
2020-01-07,24.770000,25.230000,24.090000,24.719999,24.719999,658300,1.0210656762108912
2020-01-08,24.320000,25.420000,24.049999,25.270000,25.270000,1134800,1.0140449438202246
2020-01-09,25.490000,25.490000,24.170000,24.650000,24.650000,850500,0.9975718736370649
2020-01-10,24.809999,25.000000,24.170000,24.209999,24.209999,474700,0.9914004504504503
2020-01-13,24.100000,25.250000,24.000000,24.920000,24.920000,640000,0.9822624760637575
2020-01-14,25.260000,25.260000,24.469999,24.709999,24.709999,302700,0.9793895759017043
2020-01-15,24.690001,25.139999,24.325001,24.420000,24.420000,531600,0.9862681744749596
2020-01-16,24.620001,25.480000,24.530001,25.370001,25.370001,496500,0.9996060677543761
2020-01-17,25.500000,25.879999,25.209999,25.230000,25.230000,517500,1.0442880794701987
2020-01-21,25.309999,25.510000,24.730000,24.760000,24.760000,559100,1.0438449006679975
2020-01-22,24.760000,25.790001,24.750000,25.379999,25.379999,519200,1.0987012554112554
2020-01-23,25.000000,25.200001,24.080000,24.160000,24.160000,943500,1.0211327134404058
2020-01-24,24.719999,24.719999,23.340000,23.719999,23.719999,754800,0.9741272689938398
2020-01-27,23.200001,23.330000,22.950001,23.100000,23.100000,518800,0.9386427899779444
2020-01-28,23.219999,23.830000,23.014999,23.660000,23.660000,418200,1.0145797598627788
2020-01-29,23.850000,24.625999,23.709999,24.350000,24.350000,561000,1.037052810902896
2020-01-30,24.129999,24.650000,23.895000,24.610001,24.610001,302500,1.0224346073950976
2020-01-31,24.500000,24.639999,23.030001,23.320000,23.320000,680700,1.0178961152335224
2020-02-03,23.389999,23.655001,22.980000,23.480000,23.480000,350200,1.0257754926070553
2020-02-04,23.760000,24.650000,23.360001,24.070000,24.070000,427400,1.0697777777777777
2020-02-05,24.360001,24.360001,22.709999,22.910000,22.910000,482900,1.000873787718383
2020-02-06,22.900000,23.200001,22.420000,22.889999,22.889999,917800,1.0237029506394029
2020-02-07,22.900000,23.059999,22.290001,22.500000,22.500000,1039800,1.0204082095423224
2020-02-10,22.469999,23.118999,21.860001,22.889999,22.889999,827500,1.0863786900806833
2020-02-11,23.129999,23.129999,22.150000,22.360001,22.360001,445200,1.0497653544490777
2020-02-12,22.100000,22.309999,21.379999,22.049999,22.049999,2067100,1.0180054939981533
2020-02-13,21.889999,22.110001,21.010000,21.070000,21.070000,869600,0.9581628012733061
2020-02-14,21.100000,21.879999,20.959999,21.299999,21.299999,608300,1.0
2020-02-18,21.299999,21.730000,21.183001,21.660000,21.660000,594200,1.029467631679295
2020-02-19,21.750000,22.760000,21.719999,21.990000,21.990000,1091400,1.0674757281553398
2020-02-20,22.160000,22.530001,21.170000,21.299999,21.299999,1075300,1.0746719979818364
2020-02-21,21.160000,21.330999,20.628000,21.040001,21.040001,1169500,1.0789744102564103
2020-02-24,20.160000,20.840000,19.150000,20.600000,20.600000,1952400,1.1081226465841851
2020-02-25,20.780001,21.000000,19.570000,19.820000,19.820000,954900,0.962135922330097
2020-02-26,19.850000,20.315001,19.389999,19.500000,19.500000,771700,0.9343554894894351
2020-02-27,19.110001,19.308001,17.975000,18.590000,18.590000,1142300,0.9285714285714286
2020-02-28,18.020000,20.940001,18.010000,20.600000,20.600000,1830900,0.9951690340498052
2020-03-02,20.990000,21.250000,20.040001,20.870001,20.870001,1336800,1.0545730139174827
2020-03-03,21.010000,21.629999,19.180000,20.020000,20.020000,1035100,1.021949974476774
2020-03-04,20.480000,21.020000,19.620001,20.700001,20.700001,774300,1.139867896475771
2020-03-05,20.219999,20.600000,19.280001,19.790001,19.790001,904000,1.026985002594707
2020-03-06,19.260000,19.969999,18.940001,19.590000,19.590000,1148200,1.0823204419889503
2020-03-09,18.500000,18.760000,17.580000,18.160000,18.160000,1016400,1.1515535827520609
2020-03-10,18.730000,19.280001,17.889999,19.270000,19.270000,1229500,1.2344650864830238
2020-03-11,18.700001,18.850000,17.965000,18.100000,18.100000,918100,1.4063714063714066
2020-03-12,16.670000,17.690001,15.230000,15.770000,15.770000,1128500,1.0555555555555556
2020-03-13,16.370001,16.764999,13.750000,15.610000,15.610000,1183200,1.0462466487935655
2020-03-16,13.120000,14.340000,12.630000,12.870000,12.870000,1144500,0.6983179598480738
2020-03-17,13.140000,14.940000,12.330000,14.940000,14.940000,1148900,0.7834294703723125
2020-03-18,13.860000,15.730000,13.550000,14.920000,14.920000,1139700,0.8386733648862639
2020-03-19,14.470000,18.840000,14.470000,18.430000,18.430000,2433600,1.022185190117294
2020-03-20,18.830000,19.570000,17.934000,19.070000,19.070000,2661600,1.0392370572207084
2020-03-23,17.160000,18.790001,16.600000,17.790001,17.790001,4163000,0.9668478804347826
2020-03-24,18.750000,19.139999,17.740000,18.030001,18.030001,1592200,1.1061350985358955
2020-03-25,18.070000,18.900000,17.990000,18.350000,18.350000,2741200,1.0775102127122602
2020-03-26,18.570000,19.209999,17.900000,18.400000,18.400000,1887200,1.0648147531935908
2020-03-27,17.830000,17.830000,15.710000,16.299999,16.299999,1650000,1.0162093506103895
2020-03-30,16.180000,17.180000,16.000000,17.030001,17.030001,1297500,1.0717432976714913
2020-03-31,16.950001,17.730000,16.820000,17.280001,17.280001,1158500,1.1436135671740568
2020-04-01,16.740000,17.150000,15.650000,16.040001,16.040001,2148300,0.9293163962920046
2020-04-02,16.110001,16.150000,15.000000,15.890000,15.890000,2582600,0.9555021620867205
2020-04-03,15.840000,15.840000,14.700000,15.110000,15.110000,2571900,0.8334253079660953
2020-04-06,15.850000,17.430000,15.600000,17.260000,17.260000,2547100,0.9385536127544108
2020-04-07,18.000000,18.000000,15.930000,16.629999,16.629999,1734300,0.8697697766856813
2020-04-08,16.950001,18.250000,16.709999,18.129999,18.129999,2663800,0.9442707320692327
2020-04-09,18.290001,19.270000,18.070000,18.389999,18.389999,1835000,0.9484270215795266
2020-04-13,18.389999,19.160000,18.100000,19.120001,19.120001,1227200,0.9695741363881406
2020-04-14,19.430000,19.480000,18.680000,19.200001,19.200001,1840200,0.9182209947393591
